mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
bivar_poisson_expected_awmae,5,1.0,0.15,0.0,0.5,2.9469869094898296,1.0117732927138867,0.12465092663112465,0.5788905813658289,0.24466869763899468
bivar_poisson_expected_awmae,4,0.5,0.03,0.5,0.0,2.9471874258124595,1.0134234577303884,0.10960903782685961,0.596978928662097,0.22074130489972074
bivar_poisson_expected_awmae,5,0.75,0.0,0.5,0.5,2.9474559345089455,1.0136138613861385,0.11931962427011931,0.5931073876618431,0.2267072861132267
bivar_poisson_expected_awmae,5,0.75,0.03,0.5,0.5,2.9474833504383606,1.0135503935008885,0.11931962427011931,0.5928535161208428,0.22658035034272658
bivar_poisson_expected_awmae,5,0.5,0.0,0.5,0.25,2.947541936546114,1.0114559532876364,0.11652703731911652,0.5957730388423458,0.22277227722772278
bivar_poisson_expected_awmae,5,0.75,0.1,0.5,0.5,2.9477939986675543,1.0125666412795125,0.1202081746636202,0.5916476263010917,0.22613607514597614
bivar_poisson_expected_awmae,4,0.75,0.0,0.5,0.0,2.9479258289487547,1.0133599898451384,0.10878395531860878,0.5967250571210967,0.21896420411271897
bivar_poisson_expected_awmae,5,1.0,0.0,0.5,0.5,2.9479839244090504,1.0133282559025134,0.11862147753236862,0.5934881949733435,0.22588220360497588
bivar_poisson_expected_awmae,4,0.5,0.03,0.0,0.25,2.9484862939383762,1.0155496318862656,0.11995430312261995,0.5807311500380807,0.24397055090124398
bivar_poisson_expected_awmae,5,1.0,0.15,0.5,0.5,2.9485374231100514,1.012058898197512,0.12014470677837015,0.5916476263010917,0.22696115765422697
bivar_poisson_expected_awmae,4,0.25,0.15,0.0,0.0,2.9486591330110024,1.0062198527545063,0.11544808326986544,0.5754633155623254,0.23806803757298806
bivar_poisson_expected_awmae,4,0.5,0.1,0.5,0.0,2.948659507560767,1.0123127697385124,0.11087839553186088,0.5960903782685961,0.2218837268342219
bivar_poisson_expected_awmae,5,1.0,0.03,0.5,0.5,2.9486880795322308,1.0135821274435135,0.11912922061436913,0.5937420665143437,0.2265168824574765
bivar_poisson_expected_awmae,4,0.25,0.0,0.0,0.0,2.9487285308018114,1.013074384361513,0.11386138613861387,0.5825717187103325,0.23914699162223915
bivar_poisson_expected_awmae,4,0.25,0.1,0.0,0.0,2.949242260210654,1.0092028433612592,0.11455953287636456,0.5778116273165778,0.23895658796648897
bivar_poisson_expected_awmae,5,0.5,0.1,0.5,0.25,2.949248810340736,1.0104722010662606,0.11766945925361767,0.5938690022848438,0.2244859101294745
bivar_poisson_expected_awmae,4,0.5,0.06,0.0,0.25,2.949279403077716,1.0151688245747652,0.11982736735211982,0.5796521959888297,0.24403401878649403
bivar_poisson_expected_awmae,4,0.25,0.06,0.0,0.0,2.949286337886469,1.010853008377761,0.11405178979436405,0.5795252602183295,0.23876618431073876
bivar_poisson_expected_awmae,4,0.5,0.06,0.5,0.0,2.9493074056731583,1.0129157146483878,0.1103071845646103,0.5963442498095963,0.22086824067022087
bivar_poisson_expected_awmae,5,1.0,0.1,0.5,0.5,2.9496793190214707,1.0128205128205128,0.11963696369636964,0.5923457730388424,0.22658035034272658
bivar_poisson_expected_awmae,5,0.5,0.03,0.5,0.25,2.9497096270267584,1.0117732927138867,0.11697131251586697,0.5955826351865956,0.22334348819497335
bivar_poisson_expected_awmae,4,0.5,0.0,0.5,0.0,2.9498338528418437,1.0140898705255141,0.10954556994160955,0.5968519928915968,0.2202970297029703
bivar_poisson_expected_awmae,5,0.75,0.06,0.5,0.5,2.949917253507636,1.0134551916730135,0.11995430312261995,0.5919014978420919,0.22658035034272658
bivar_poisson_expected_awmae,5,1.0,0.03,0.0,0.5,2.9499288456640063,1.01494668697639,0.12401624777862402,0.5812388931200813,0.2454937801472455
bivar_poisson_expected_awmae,5,0.5,0.06,0.5,0.25,2.949970778276163,1.011138613861386,0.11754252348311754,0.5945671490225946,0.22404163493272405
