mode,max_score,draw_margin,outcome_weight,gd_weight,prior_weight,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
outcome_aware,5,0.0,0.2,0.03,0.03,2.975529764494425,1.0097740543285099,0.1012947448591013,0.5813023610053313,0.23007108403148008
outcome_aware,5,0.1,0.35,0.03,0.0,2.975653345080247,1.0217377506981467,0.09793094694084793,0.5981848184818482,0.22245493780147246
outcome_aware,5,0.1,0.2,0.0,0.01,2.9756656023480876,1.0102817974105103,0.10154861640010154,0.582000507743082,0.22981721249047982
outcome_aware,4,0.2,0.35,0.1,0.0,2.975670295764782,1.017072861132267,0.10072353389185072,0.5911398832190912,0.2267072861132267
outcome_aware,5,0.1,0.2,0.06,0.03,2.97572323362516,1.0089172378776339,0.10142168062960143,0.5797791317593298,0.22988068037572987
outcome_aware,5,0.2,0.35,0.0,0.03,2.975880328683089,1.0177075399847677,0.10002538715410003,0.5934247270880935,0.22537446052297538
outcome_aware,5,0.1,0.35,0.03,0.01,2.975883900879578,1.0214204112718963,0.09761360751459762,0.597105864432597,0.22201066260472202
outcome_aware,5,0.1,0.2,0.0,0.0,2.9760306091796522,1.0107578065498857,0.10104087331810103,0.5822543792840823,0.22924600152322924
outcome_aware,5,0.0,0.35,0.06,0.01,2.976070927146299,1.0221820258948973,0.09666158923584667,0.597042396547347,0.22112211221122113
outcome_aware,5,0.0,0.2,0.03,0.01,2.976198631170939,1.0106626047220106,0.1011043412033511,0.5823178471693323,0.22924600152322924
outcome_aware,5,0.2,0.2,0.03,0.06,2.976259002117074,1.0073940086316324,0.10275450621985276,0.5779385630870779,0.23197512058898198
outcome_aware,5,0.0,0.35,0.06,0.03,2.9763075850100433,1.0212617415587713,0.09697892866209698,0.5961538461538461,0.22162985529322163
outcome_aware,4,0.2,0.2,0.06,0.0,2.976349187399998,1.0093932470170095,0.10313531353135313,0.578954049251079,0.23216552424473216
outcome_aware,5,0.2,0.35,0.06,0.01,2.9763999887460137,1.0177710078700177,0.09894643310484895,0.5923457730388424,0.22435897435897437
outcome_aware,5,0.2,0.35,0.06,0.03,2.976535818878246,1.017168062960142,0.09900990099009901,0.5915841584158416,0.2246128458999746
outcome_aware,5,0.1,0.2,0.0,0.06,2.9767470869916024,1.0085998984513835,0.10224676313785225,0.5792713886773293,0.23089616653973088
outcome_aware,5,0.1,0.2,0.1,0.03,2.9768678332182272,1.0089489718202589,0.10142168062960143,0.5793348565625793,0.23045189134298044
outcome_aware,5,0.0,0.2,0.06,0.0,2.9769072312261717,1.0112972835745113,0.10027925869510028,0.5818101040873318,0.22905559786747906
outcome_aware,5,0.2,0.35,0.03,0.01,2.976979389489218,1.018120081238893,0.09945417618684946,0.5931073876618431,0.22467631378522468
outcome_aware,5,0.2,0.35,0.06,0.0,2.977072115717613,1.0183104848946434,0.09894643310484895,0.5928535161208428,0.2244859101294745
outcome_aware,5,0.0,0.35,0.06,0.0,2.9771818215299866,1.023070576288398,0.09653465346534654,0.5977405432850977,0.22105864432597105
outcome_aware,5,0.2,0.2,0.0,0.01,2.977386949566689,1.0097740543285099,0.10205635948210205,0.5806042142675806,0.2310865701954811
outcome_aware,5,0.0,0.2,0.0,0.03,2.977417734507537,1.0105991368367606,0.10123127697385123,0.5816831683168316,0.22975374460522976
outcome_aware,5,0.1,0.35,0.1,0.01,2.9774655446430462,1.0196750444275198,0.09767707539984767,0.593995938055344,0.22226453414572225
outcome_aware,5,0.2,0.35,0.1,0.03,2.9775207040289113,1.0165651180502666,0.09900990099009901,0.5905052043665905,0.22454937801472455
outcome_aware,5,0.2,0.35,0.03,0.0,2.9776454887336614,1.0183739527798934,0.0997080477278497,0.5935516628585935,0.22486671744097486
outcome_aware,5,0.1,0.2,0.1,0.06,2.9776994882000882,1.0080921553693831,0.10123127697385123,0.5773673521198274,0.22988068037572987
outcome_aware,5,0.0,0.2,0.03,0.0,2.9777080249159047,1.0112655496318863,0.10072353389185072,0.5821274435135821,0.22873825844122875
outcome_aware,5,0.1,0.2,0.03,0.01,2.977841047722719,1.0102183295252603,0.10135821274435136,0.5809215536938309,0.2291825336379792
outcome_aware,5,0.1,0.2,0.03,0.03,2.9778885988271773,1.0093932470170095,0.10154861640010154,0.5797156638740797,0.22975374460522976
outcome_aware,5,0.2,0.2,0.0,0.0,2.9780091818252417,1.0103135313531353,0.10154861640010154,0.5808580858085809,0.23051535922823052
outcome_aware,5,0.1,0.2,0.06,0.01,2.9780687776869117,1.0101231276973852,0.1011043412033511,0.5804138106118304,0.22937293729372937
outcome_aware,5,0.0,0.35,0.03,0.0,2.9780828775885806,1.023927392739274,0.09685199289159685,0.6001523229246002,0.22074130489972074
outcome_aware,5,0.2,0.2,0.06,0.06,2.9784238967235264,1.0078700177710078,0.1018024879411018,0.5774308200050774,0.23153084539223154
outcome_aware,5,0.0,0.35,0.03,0.01,2.978555151675065,1.0236735211982737,0.09653465346534654,0.598946433104849,0.2202970297029703
outcome_aware,5,0.0,0.35,0.1,0.01,2.9787121463515085,1.0211348057882712,0.09710586443259711,0.5953287636455953,0.22162985529322163
outcome_aware,5,0.2,0.35,0.0,0.01,2.9787806530019894,1.0183739527798934,0.09958111195734957,0.5932977913175933,0.22467631378522468
outcome_aware,5,0.2,0.2,0.0,0.06,2.9788398489766608,1.0081873571972582,0.10288144199035289,0.578002030972328,0.23203858847423203
outcome_aware,5,0.0,0.2,0.1,0.0,2.9788429444510296,1.011138613861386,0.10053313023610053,0.5812388931200813,0.22988068037572987
outcome_aware,5,0.1,0.2,0.0,0.03,2.9789318662731428,1.00996445798426,0.10161208428535161,0.5802234069560802,0.22975374460522976
outcome_aware,5,0.0,0.35,0.0,0.03,2.979017134933687,1.0241812642802741,0.09634424980959634,0.5995811119573495,0.22004315816197004
outcome_aware,5,0.1,0.2,0.03,0.0,2.9791780779087085,1.010821274435136,0.10104087331810103,0.5808580858085809,0.2288017263264788
outcome_aware,5,0.1,0.35,0.1,0.0,2.9792376987840554,1.0204049251078955,0.09767707539984767,0.5942498095963442,0.22239146991622238
outcome_aware,4,0.2,0.2,0.1,0.0,2.9792902296715855,1.0093615130743843,0.10345265295760345,0.5785097740543285,0.23273673521198274
outcome_aware,5,0.2,0.2,0.06,0.03,2.979337511563976,1.0088220360497588,0.10192942371160194,0.5784463061690784,0.23064229499873065
outcome_aware,4,0.2,0.2,0.1,0.01,2.9793571230082727,1.009012439705509,0.10294490987560294,0.578002030972328,0.23235592790048235
outcome_aware,5,0.0,0.2,0.1,0.01,2.979397778220805,1.010916476263011,0.09996191926884997,0.5804772784970805,0.22943640517897942
outcome_aware,5,0.2,0.35,0.0,0.0,2.979442082866508,1.0188499619192688,0.09926377253109926,0.5933612592028433,0.22435897435897437
outcome_aware,5,0.1,0.2,0.06,0.0,2.979491614904823,1.010916476263011,0.10046966235085047,0.5802234069560802,0.22861132267072862
outcome_aware,5,0.2,0.2,0.03,0.01,2.97976056961327,1.00990099009901,0.10186595582635187,0.5797156638740797,0.23026148768723026
