mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,dixon_rho,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
dixon_bivar_expected_awmae,5,0.5,0.1,0.0,0.0,-0.05,2.923218872665222,1.0043475501396293,0.11278243208936278,0.5877760853008378,0.2373064229499873
dixon_bivar_expected_awmae,5,1.0,0.0,0.0,0.0,-0.15,2.9232710478347887,1.0063150545823814,0.11367098248286367,0.5917110941863417,0.23813150545823814
dixon_bivar_expected_awmae,5,1.0,0.06,0.0,0.0,-0.05,2.9232873301137285,1.0073940086316324,0.11132267072861132,0.5926631124650926,0.23502157908098503
dixon_bivar_expected_awmae,5,0.5,0.1,0.0,0.0,0.1,2.9233023610508506,1.0091393754760092,0.10960903782685961,0.5934881949733435,0.23476770753998477
dixon_bivar_expected_awmae,4,1.0,0.1,0.0,0.0,-0.15,2.923315665561928,1.0057121096725057,0.11386138613861387,0.5846026910383346,0.2395912668189896
dixon_bivar_expected_awmae,4,1.0,0.03,0.0,0.0,0.15,2.923349583251313,1.0151370906321402,0.10846661589235847,0.5962807819243463,0.23216552424473216
dixon_bivar_expected_awmae,5,0.5,0.1,0.0,0.0,0.15,2.9234103222123835,1.00990099009901,0.10853008377760853,0.5944402132520944,0.23254633155623256
dixon_bivar_expected_awmae,4,1.0,0.1,0.0,0.0,0.1,2.923503044819572,1.0115194211728866,0.11125920284336126,0.5933612592028433,0.23394262503173394
dixon_bivar_expected_awmae,4,1.0,0.15,0.0,0.0,0.15,2.923505701687109,1.0115194211728866,0.10992637725310993,0.5941863417110942,0.2321020563594821
dixon_bivar_expected_awmae,5,0.75,0.1,0.0,0.0,0.0,2.923576209192614,1.0076478801726327,0.11151307438436152,0.5928535161208428,0.23667174409748667
dixon_bivar_expected_awmae,5,1.0,0.0,0.0,0.0,0.0,2.9236584170425153,1.0098057882711349,0.10954556994160955,0.5937420665143437,0.23273673521198274
dixon_bivar_expected_awmae,4,1.0,0.1,0.0,0.0,-0.1,2.923691245773082,1.0067593297791317,0.11430566133536431,0.5873952779893374,0.23895658796648897
dixon_bivar_expected_awmae,5,1.0,0.06,0.0,0.25,0.05,2.923703267543773,1.0092980451891342,0.11697131251586697,0.5901243970550901,0.23984513835998986
dixon_bivar_expected_awmae,5,1.0,0.15,0.0,0.25,0.05,2.923748493552764,1.0075526783447575,0.1170982482863671,0.5887281035795887,0.23902005585173902
dixon_bivar_expected_awmae,5,0.75,0.15,0.0,0.0,0.05,2.9237557116926047,1.0071718710332571,0.11062452399086062,0.592980451891343,0.23483117542523482
dixon_bivar_expected_awmae,4,1.0,0.0,0.0,0.0,0.05,2.923846232919351,1.0133599898451384,0.11144960649911145,0.5938690022848438,0.23476770753998477
dixon_bivar_expected_awmae,4,0.75,0.1,0.0,0.0,0.1,2.92387062228627,1.0104404671236353,0.11221122112211221,0.5918380299568419,0.2361005331302361
dixon_bivar_expected_awmae,5,0.75,0.15,0.0,0.0,-0.05,2.9239160977050864,1.0041888804265042,0.11284589997461285,0.5884107641533384,0.2366082762122366
dixon_bivar_expected_awmae,5,1.0,0.0,0.0,0.0,-0.1,2.92395279459842,1.007996953541508,0.11252856054836252,0.5925996445798426,0.2364178725564864
dixon_bivar_expected_awmae,4,1.0,0.1,0.0,0.0,0.15,2.92402483226708,1.0128205128205128,0.1103071845646103,0.595011424219345,0.23286367098248287
dixon_bivar_expected_awmae,4,1.0,0.0,0.0,0.0,-0.15,2.9240365091642837,1.009012439705509,0.11443259710586444,0.588029956841838,0.24086062452399087
dixon_bivar_expected_awmae,5,1.0,0.1,0.0,0.0,0.1,2.9240495140741336,1.011106879918761,0.1078954049251079,0.5962807819243463,0.23115003808073115
dixon_bivar_expected_awmae,4,1.0,0.0,0.0,0.0,0.15,2.924055889786371,1.0167555217060167,0.10764153338410765,0.5971693323178472,0.23248286367098248
dixon_bivar_expected_awmae,4,0.75,0.15,0.0,0.0,0.0,2.9240596514237347,1.007076669205382,0.11405178979436405,0.5878395531860878,0.23914699162223915
dixon_bivar_expected_awmae,4,1.0,0.03,0.0,0.0,-0.05,2.924097975078104,1.010916476263011,0.1137979182533638,0.5914572226453415,0.23908352373698907
dixon_bivar_expected_awmae,5,0.75,0.03,0.0,0.0,-0.1,2.9242358344577117,1.0065689261233817,0.11252856054836252,0.5900609291698401,0.2374968266057375
