max_score,draw_margin,outcome_weight,gd_weight,prior_weight,mode,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
7,0.2,0.35,0.03,0.06,outcome_aware,3.0148018854442813,1.0230085687083466,0.09850841002856237,0.5714376388448111,0.2316724849254205
6,0.2,0.35,0.06,0.06,outcome_aware,3.014828734089837,1.0218343383053,0.09920660107902253,0.5703586163122818,0.2321167883211679
7,0.1,0.35,0.1,0.06,outcome_aware,3.0148696000366044,1.0236115518882893,0.09812757854649318,0.5712472231037766,0.23040304665185654
6,0.1,0.35,0.1,0.03,outcome_aware,3.014913193471819,1.024468422722945,0.09774674706442399,0.5725166613773405,0.2298317994287528
6,0.1,0.35,0.0,0.06,outcome_aware,3.015113854229115,1.0288797207235798,0.09622342113614725,0.5767058076801016,0.2272929228816249
6,0.2,0.35,0.06,0.03,outcome_aware,3.0151450314611403,1.0230403046651857,0.09882576959695334,0.5715645826721676,0.2315455410980641
7,0.2,0.35,0.06,0.06,outcome_aware,3.0151964238088325,1.0220564900031737,0.09901618533798794,0.5703586163122818,0.2319263725801333
7,0.1,0.35,0.1,0.03,outcome_aware,3.0152440014455424,1.0246905744208188,0.09761980323706759,0.5725166613773405,0.2297048556013964
7,0.1,0.35,0.0,0.06,outcome_aware,3.0153174870351207,1.0291018724214536,0.09596953348143447,0.5767058076801016,0.2270390352269121
5,0.2,0.35,0.1,0.06,outcome_aware,3.01538770724557,1.0216439225642653,0.09901618533798794,0.5689622342113615,0.23287845128530626
7,0.2,0.35,0.06,0.03,outcome_aware,3.015477999407499,1.0232624563630592,0.09863535385591876,0.5715645826721676,0.2313551253570295
6,0.1,0.35,0.06,0.0,outcome_aware,3.015718068889728,1.027610282450016,0.09679466835925103,0.576515391939067,0.2274833386226595
6,0.1,0.35,0.1,0.01,outcome_aware,3.0157675317965627,1.025388765471279,0.09717549984132022,0.5736591558235481,0.2291970802919708
6,0.1,0.35,0.06,0.06,outcome_aware,3.0158385708211783,1.025134877816566,0.09793716280545858,0.5738495715645827,0.22957791177404
7,0.1,0.35,0.06,0.0,outcome_aware,3.015916467738347,1.0278006981910504,0.09666772453189464,0.576515391939067,0.2273563947953031
7,0.1,0.35,0.1,0.01,outcome_aware,3.015951713388695,1.0255474452554745,0.09711202792764202,0.5736591558235481,0.2291336083782926
7,0.1,0.35,0.06,0.06,outcome_aware,3.0162062605401734,1.0253570295144399,0.09774674706442399,0.5738495715645827,0.2293874960330054
6,0.2,0.35,0.1,0.01,outcome_aware,3.016238541296762,1.0225325293557601,0.09850841002856237,0.5704855601396382,0.2316724849254205
6,0.2,0.35,0.03,0.01,outcome_aware,3.016277815488931,1.0242145350682323,0.09774674706442399,0.5723897175499841,0.23021263091082197
7,0.2,0.35,0.1,0.01,outcome_aware,3.0164227228888953,1.0226912091399556,0.09844493811488417,0.5704855601396382,0.2316090130117423
6,0.2,0.35,0.0,0.06,outcome_aware,3.0165071780129336,1.024119327197715,0.09793716280545858,0.5717549984132022,0.2312916534433513
5,0.1,0.35,0.06,0.03,outcome_aware,3.016522787376366,1.027324658838464,0.09698508410028563,0.5760076166296414,0.22894319263725801
5,0.2,0.35,0.03,0.06,outcome_aware,3.0165416654252963,1.0236115518882893,0.09806410663281498,0.5714376388448111,0.2314820691843859
7,0.2,0.35,0.03,0.01,outcome_aware,3.016585384695063,1.024436686766106,0.09761980323706759,0.5723897175499841,0.23008568708346558
